"";"Num_Acc";"catr";"circ";"nbv";"vosp";"prof";"plan";"surf";"infra";"situ";"vma"
"7296";"202100007296";"9";"1";"0";"0";"1";"3";"2";"5";"8";"90"
"7297";"202100007297";"3";"2";"2";"0";"3";"1";"1";"0";"1";"50"
"7298";"202100007298";"4";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7299";"202100007299";"3";"2";"4";"0";"1";"1";"1";"0";"1";"90"
"7300";"202100007300";"4";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7301";"202100007301";"4";"3";"6";"0";"1";"2";"1";"0";"1";"50"
"7302";"202100007302";"4";"3";"0";"0";"1";"1";"1";"0";"1";"50"
"7303";"202100007303";"4";NA;"4";"0";"1";"1";"1";"0";"1";"50"
"7304";"202100007304";"4";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7305";"202100007305";"7";NA;"2";"0";"1";"1";"1";"0";"1";"50"
"7306";"202100007306";"4";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7307";"202100007307";"4";"2";"2";"0";"2";"1";"1";"0";"1";"30"
"7308";"202100007308";"2";"3";"1";"0";"2";"3";"1";"3";"3";"70"
"7309";"202100007309";"3";"2";"2";"0";"1";"1";"1";"9";"1";"50"
"7310";"202100007310";"4";"2";"2";"0";"2";"3";"1";"0";"4";"50"
"7311";"202100007311";"3";"2";"2";"0";"1";"1";"1";"5";"1";"50"
"7312";"202100007312";"4";"1";"1";"0";"1";"1";"1";"0";"1";"50"
"7313";"202100007313";"4";"2";"2";"0";"1";"3";"1";"0";"1";"50"
"7314";"202100007314";"4";"2";"4";"0";"1";"1";"2";"9";"1";"50"
"7315";"202100007315";"3";"1";"0";"0";"1";"1";"1";"0";"1";"50"
"7316";"202100007316";"2";"2";"2";"0";"1";"4";"1";"9";"1";"80"
"7317";"202100007317";"4";"1";"1";"1";"1";"1";"1";"6";"1";"30"
"7318";"202100007318";"4";"3";"5";"0";"1";"1";"1";"0";"1";"50"
"7319";"202100007319";"4";"2";"2";"1";"1";"1";"1";"0";"1";"50"
"7320";"202100007320";"9";"2";"2";"0";"2";"1";"1";"0";"8";"50"
"7321";"202100007321";"4";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7322";"202100007322";"3";"2";"2";"0";"2";"2";"1";"0";"1";"50"
"7323";"202100007323";"4";"2";"2";"0";"1";"1";"1";"0";"4";"50"
"7324";"202100007324";"4";"2";"3";"0";"2";"1";"2";"0";"1";"50"
"7325";"202100007325";"4";"2";"3";"0";"1";"1";"1";"0";"1";"50"
"7326";"202100007326";"4";"2";"2";"0";"1";"3";"2";"0";"1";"30"
"7327";"202100007327";"4";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7328";"202100007328";"4";"2";"2";"0";"1";"1";"1";"5";"1";"50"
"7329";"202100007329";"4";"1";"4";"0";"1";"1";"1";"1";"1";"70"
"7330";"202100007330";"4";NA;"2";"0";"1";"1";"1";"0";"1";"70"
"7331";"202100007331";"4";"1";"3";"0";"1";"1";"1";"1";"1";"70"
"7332";"202100007332";"4";"4";"4";"0";"2";"1";"1";NA;"6";"30"
"7333";"202100007333";"4";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7334";"202100007334";"4";"2";"2";"0";"2";"1";"1";"0";"1";"30"
"7335";"202100007335";"4";"2";"4";"0";"1";"1";"1";"0";"1";"30"
"7336";"202100007336";"4";"1";"1";"0";"1";"1";"1";"0";"1";"30"
"7337";"202100007337";"4";"2";"2";"0";"1";"1";"1";"0";"1";"30"
"7338";"202100007338";"4";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7339";"202100007339";"4";"1";"1";"0";"1";"1";"1";"0";"1";"30"
"7340";"202100007340";"4";NA;"4";"0";"2";"1";"1";"0";"1";"30"
"7341";"202100007341";"4";"2";"1";"1";"1";"1";"1";NA;"5";"30"
"7342";"202100007342";"4";"1";"1";"0";"1";"1";"1";"0";"1";"30"
"7343";"202100007343";"4";"1";"2";"0";"1";"1";"1";"0";"1";"30"
"7344";"202100007344";"4";"1";"1";"2";"1";"1";"1";NA;"5";"50"
"7345";"202100007345";"4";"1";"4";"0";"1";"1";"1";"0";"1";"30"
"7346";"202100007346";"4";"2";"2";"0";"1";"1";"1";"0";"1";"30"
"7347";"202100007347";"4";"1";"3";"1";"1";"2";"1";NA;"5";"30"
"7348";"202100007348";"4";"1";"2";"0";"1";"1";"1";"0";"1";"50"
"7349";"202100007349";"3";"1";"2";"0";"1";"1";"1";"0";"1";"50"
