"Num_Acc";"circ";"nbv";"vma";"surf_gr";"prof_gr";"plan_gr";"infrastructure"
"202100000097";"2";1;50;"risquée";"plat";"rectiligne";"oui"
"202100000098";"2";2;70;"normale";"plat";"rectiligne";"non"
"202100000099";"3";2;80;"risquée";"plat";"rectiligne";"non"
"202100000100";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000101";NA;1;NA;"risquée";"plat";"rectiligne";"oui"
"202100000102";"2";2;60;"normale";"pente/cote";"courbe";"non"
"202100000103";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000104";"2";2;80;"risquée";"plat";"rectiligne";"non"
"202100000105";"2";2;70;"risquée";"pente/cote";"courbe";"non"
"202100000106";"2";2;50;"risquée";"plat";"rectiligne";"non"
"202100000107";"2";NA;NA;"normale";"plat";"courbe";"non"
"202100000108";"2";2;30;"normale";"pente/cote";"courbe";"oui"
"202100000109";"2";2;80;"normale";"plat";"rectiligne";"non"
"202100000110";"3";4;50;"normale";"pente/cote";"rectiligne";"non"
"202100000111";"2";4;50;"normale";"plat";"rectiligne";"oui"
"202100000112";"2";1;NA;"risquée";"pente/cote";"rectiligne";"oui"
"202100000113";NA;2;50;"normale";"pente/cote";"courbe";"non"
"202100000114";"1";1;30;"normale";"pente/cote";"rectiligne";"non"
"202100000115";"2";2;80;"risquée";"plat";"courbe";"non"
"202100000116";"2";2;50;"risquée";"plat";"rectiligne";"non"
"202100000117";"1";1;50;"normale";"plat";"rectiligne";"non"
"202100000118";"2";2;50;"risquée";"plat";"rectiligne";"oui"
"202100000119";"3";2;30;"normale";"plat";"rectiligne";"non"
"202100000120";"2";3;50;"risquée";"plat";"rectiligne";"oui"
"202100000121";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000122";"2";2;80;"normale";"plat";"rectiligne";"non"
"202100000123";"3";2;110;"normale";"plat";"rectiligne";"non"
"202100000124";"2";2;50;"normale";"pente/cote";"courbe";"non"
"202100000125";"1";1;90;"risquée";"plat";"courbe";"oui"
"202100000126";"2";2;70;"normale";"pente/cote";"rectiligne";"non"
"202100000127";"4";0;40;"normale";"plat";"rectiligne";"oui"
"202100000128";"2";1;80;"normale";"plat";"courbe";"oui"
"202100000129";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000130";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000131";"2";2;50;"risquée";"plat";"rectiligne";"non"
"202100000132";"3";1;50;"risquée";"plat";"rectiligne";"non"
"202100000133";"2";2;50;"normale";"pente/cote";"rectiligne";"oui"
"202100000134";"2";2;50;"normale";"pente/cote";"rectiligne";"non"
"202100000135";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000136";"2";3;NA;"normale";"plat";"rectiligne";"non"
"202100000137";"2";2;30;"normale";"plat";"rectiligne";"non"
"202100000138";"2";1;50;"normale";"plat";"rectiligne";"non"
"202100000139";"1";1;30;"normale";"plat";"rectiligne";"non"
"202100000140";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000141";NA;2;50;"normale";"plat";"rectiligne";"non"
"202100000142";"2";4;90;"normale";"plat";"rectiligne";"non"
"202100000143";"3";5;110;"normale";"plat";"rectiligne";"non"
"202100000144";"3";4;70;"normale";"pente/cote";"rectiligne";"non"
"202100000145";"3";4;90;"normale";"plat";"rectiligne";"non"
"202100000146";"3";4;70;"risquée";"pente/cote";"courbe";"non"
"202100000147";"3";4;90;"risquée";"plat";"rectiligne";"non"
"202100000148";"3";6;110;"normale";"plat";"rectiligne";"non"
"202100000149";"3";6;110;"risquée";"plat";"courbe";"non"
"202100000150";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000151";"2";2;80;"normale";"pente/cote";"rectiligne";"non"
"202100000152";"1";3;90;"normale";"pente/cote";"courbe";"non"
"202100000153";"2";2;80;"normale";"plat";"rectiligne";"non"
"202100000154";"1";1;50;"normale";"plat";"rectiligne";"non"
"202100000155";"1";1;50;"risquée";"pente/cote";"rectiligne";"oui"
"202100000156";"2";2;50;"normale";"pente/cote";"rectiligne";"non"
"202100000157";"2";2;50;"risquée";"pente/cote";"rectiligne";"non"
"202100000158";"2";2;80;"normale";"plat";"courbe";"non"
"202100000159";"2";2;50;"risquée";"pente/cote";"rectiligne";"non"
"202100000160";"2";2;30;"normale";"plat";"courbe";"non"
"202100000161";"2";2;70;"normale";"pente/cote";"rectiligne";"non"
"202100000162";"2";2;50;"normale";"pente/cote";"rectiligne";"non"
"202100000163";"2";NA;50;"normale";"plat";"rectiligne";"oui"
"202100000164";"2";2;50;"normale";"plat";"courbe";"non"
"202100000165";"2";2;30;"normale";"plat";"rectiligne";"non"
"202100000166";"2";2;80;"normale";"plat";"rectiligne";"non"
"202100000167";"2";2;80;"normale";"pente/cote";"courbe";"non"
"202100000168";"2";2;50;"normale";"plat";"rectiligne";"non"
